종목명,코드,시장,Tier1,Tier2,Tier3,Price,Trend,Volume,RS_raw,pct_52w,정배열,골든크로스,MACD강세,거래량급증,OBV상승,RS,Total
삼성전자,005930,KOSPI,반도체,메모리,DRAM,2,1,1,1.53,97.5,True,False,True,False,True,1,5
SK하이닉스,000660,KOSPI,반도체,메모리,HBM,2,1,1,11.84,99.2,True,False,True,False,True,2,6
DB하이텍,000990,KOSPI,반도체,비메모리,파운드리,2,2,1,44.94,99.0,True,True,True,False,True,2,7
어보브반도체,102120,KOSDAQ,반도체,비메모리,팹리스,1,1,1,-5.45,90.7,False,False,True,False,True,0,3
칩스앤미디어,094360,KOSDAQ,반도체,비메모리,팹리스,0,1,2,-9.6,87.6,False,False,True,True,True,0,3
오픈엣지테크놀로지,394280,KOSDAQ,반도체,비메모리,팹리스,2,1,2,-8.72,96.8,True,False,True,True,True,0,5
제주반도체,080720,KOSDAQ,반도체,비메모리,팹리스,1,0,0,-19.24,inf,False,False,False,False,False,0,1
아이에이,038880,KOSDAQ,반도체,비메모리,팹리스,0,1,1,-25.49,41.9,False,False,True,False,True,0,2
실리콘웍스,108670,KOSDAQ,반도체,비메모리,PMIC/아날로그,1,1,1,-8.19,91.5,False,False,True,False,True,0,3
지니틱스,114570,KOSDAQ,반도체,비메모리,PMIC/아날로그,0,0,0,,,False,False,False,False,False,0,0
주성엔지니어링,036930,KOSDAQ,반도체,전공정장비,박막증착(CVD/ALD),2,1,2,49.62,95.3,True,False,True,True,True,2,7
원익IPS,240810,KOSDAQ,반도체,전공정장비,박막증착(CVD/ALD),1,1,2,-21.22,83.3,True,False,True,True,True,0,4
유진테크,084370,KOSDAQ,반도체,전공정장비,박막증착(CVD/ALD),1,1,0,-10.78,87.9,True,False,True,False,False,0,2
테스,095610,KOSDAQ,반도체,전공정장비,박막증착(CVD/ALD),2,2,1,27.92,98.2,True,True,True,False,True,2,7
에스티아이,039440,KOSDAQ,반도체,전공정장비,박막증착(CVD/ALD),0,1,2,-1.25,84.3,False,False,True,True,True,0,3
HPSP,403870,KOSDAQ,반도체,전공정장비,고압어닐링,0,1,2,-14.09,89.1,False,False,True,True,True,0,3
피에스케이,319660,KOSDAQ,반도체,전공정장비,식각(Etch),2,0,0,-15.17,93.9,True,False,False,False,False,0,2
피에스케이홀딩스,272460,KOSDAQ,반도체,전공정장비,식각(Etch),0,0,0,,,False,False,False,False,False,0,0
케이씨텍,281820,KOSDAQ,반도체,전공정장비,세정/CMP,2,1,1,-1.22,98.5,True,False,True,False,True,0,4
이오테크닉스,039030,KOSDAQ,반도체,전공정장비,레이저장비,2,1,0,-0.86,95.3,True,False,True,False,False,0,3
에프에스티,036810,KOSDAQ,반도체,전공정장비,노광주변,0,1,1,-5.46,88.2,False,False,True,False,True,0,2
파크시스템스,140860,KOSDAQ,반도체,전공정장비,검사·계측,0,1,1,-9.61,88.5,False,False,True,False,True,0,2
넥스틴,348210,KOSDAQ,반도체,전공정장비,검사·계측,0,1,1,-17.1,76.1,False,False,True,False,True,0,2
오로스테크놀로지,322310,KOSDAQ,반도체,전공정장비,검사·계측,2,1,0,-11.95,90.6,True,False,True,False,False,0,3
케이씨,015760,KOSPI,반도체,전공정장비,가스공급,0,1,0,-18.48,66.7,False,False,True,False,False,0,1
유니셈,036200,KOSDAQ,반도체,전공정장비,스크러버,1,1,1,-1.3,92.4,False,False,True,False,True,0,3
GST,083450,KOSDAQ,반도체,전공정장비,스크러버,2,2,1,42.02,99.1,True,True,True,False,True,2,7
신성이엔지,011930,KOSDAQ,반도체,전공정장비,클린룸,1,1,1,41.77,83.1,True,False,True,False,True,2,5
한미반도체,042700,KOSDAQ,반도체,후공정장비,TC본더,1,1,1,-13.66,87.5,True,False,True,False,True,0,3
엠케이전자,033160,KOSDAQ,반도체,후공정장비,본딩와이어,2,1,1,45.29,96.1,True,False,True,False,True,2,6
테크윙,089030,KOSDAQ,반도체,후공정장비,테스트핸들러,1,1,1,-8.82,77.3,True,False,True,False,True,0,3
유니테스트,086390,KOSDAQ,반도체,후공정장비,테스트핸들러,0,1,1,-12.87,79.6,False,False,True,False,True,0,2
와이씨,232140,KOSDAQ,반도체,후공정장비,테스트핸들러,0,1,1,-11.25,88.2,False,False,True,False,True,0,2
디아이,003160,KOSPI,반도체,후공정장비,테스트핸들러,0,1,0,-28.75,77.6,False,False,True,False,False,0,1
리노공업,058470,KOSDAQ,반도체,후공정장비,인터페이스보드,2,1,1,-2.77,93.8,True,False,True,False,True,0,4
티에스이,131290,KOSDAQ,반도체,후공정장비,인터페이스보드,2,1,1,27.98,93.8,True,False,True,False,True,2,6
마이크로컨텍솔,098120,KOSDAQ,반도체,후공정장비,인터페이스보드,2,1,1,8.88,94.7,True,False,True,False,True,2,6
고영,098460,KOSDAQ,반도체,후공정장비,3D검사,0,1,2,2.9,88.4,False,False,True,True,True,2,5
하나마이크론,067310,KOSDAQ,반도체,패키징(OSAT),메모리패키징,1,1,2,3.15,97.4,False,False,True,True,True,2,6
윈팩,097800,KOSDAQ,반도체,패키징(OSAT),메모리패키징,0,1,1,-7.02,61.0,False,False,True,False,True,0,2
SFA반도체,036540,KOSDAQ,반도체,패키징(OSAT),시스템반도체패키징,1,1,2,-1.75,91.0,False,False,True,True,True,0,4
네패스,033640,KOSDAQ,반도체,패키징(OSAT),팬아웃WLP,2,1,1,24.25,99.3,True,False,True,False,True,2,6
네패스아크,330860,KOSDAQ,반도체,패키징(OSAT),팬아웃WLP,1,1,1,1.42,89.7,True,False,True,False,True,1,4
두산테스나,131970,KOSDAQ,반도체,패키징(OSAT),비메모리테스트,2,1,2,5.66,100.0,True,False,True,True,True,2,7
해성디에스,195870,KOSDAQ,반도체,패키징(OSAT),리드프레임,1,1,2,1.78,98.0,False,False,True,True,True,1,5
삼성전기,009150,KOSPI,반도체,패키징(OSAT),FC-BGA기판,2,1,1,58.44,99.5,True,False,True,False,True,2,6
대덕전자,008060,KOSPI,반도체,패키징(OSAT),FC-BGA기판,2,1,1,-9.57,100.0,True,False,True,False,True,0,4
심텍,222800,KOSDAQ,반도체,패키징(OSAT),FC-BGA기판,2,1,1,28.54,98.7,True,False,True,False,True,2,6
이수페타시스,007660,KOSPI,반도체,패키징(OSAT),FC-BGA기판,1,2,2,21.11,98.2,False,True,True,True,True,2,7
SKC,011790,KOSPI,반도체,패키징(OSAT),유리기판,0,1,2,5.37,88.3,False,False,True,True,True,2,5
솔브레인,357780,KOSDAQ,반도체,소재,식각액·세정액,0,1,2,-1.77,87.5,False,False,True,True,True,0,3
이엔에프테크놀로지,102710,KOSDAQ,반도체,소재,식각액·세정액,1,1,1,-7.03,90.5,False,False,True,False,True,0,3
동진쎄미켐,005290,KOSPI,반도체,소재,식각액·세정액,1,1,2,9.41,96.6,False,False,True,True,True,2,6
SK머티리얼즈,036490,KOSDAQ,반도체,소재,특수가스,0,0,0,,,False,False,False,False,False,0,0
후성,093370,KOSDAQ,반도체,소재,특수가스,2,2,1,76.32,97.7,True,True,True,False,True,2,7
원익머트리얼즈,104830,KOSDAQ,반도체,소재,특수가스,2,1,1,1.18,95.2,True,False,True,False,True,1,5
한솔케미칼,014680,KOSPI,반도체,소재,CVD프리커서,0,1,1,-17.29,83.1,False,False,True,False,True,0,2
디엔에프,092070,KOSDAQ,반도체,소재,CVD프리커서,2,1,2,1.11,99.8,True,False,True,True,True,1,6
에스앤에스텍,101490,KOSDAQ,반도체,소재,블랭크마스크,2,1,1,-1.42,93.9,True,False,True,False,True,0,4
덕산네오룩스,213420,KOSDAQ,반도체,소재,봉지재,2,1,0,-18.48,93.0,True,False,True,False,False,0,3
이녹스첨단소재,272290,KOSDAQ,반도체,소재,봉지재,0,1,1,-10.88,80.3,False,False,True,False,True,0,2
PI첨단소재,178920,KOSDAQ,반도체,소재,PI필름,2,1,0,-15.49,94.3,True,False,True,False,False,0,3
램테크놀러지,171010,KOSDAQ,반도체,소재,고순도화학,0,1,2,-4.65,76.8,False,False,True,True,True,0,3
티씨케이,064760,KOSDAQ,반도체,부품,실리콘부품,2,1,1,-2.68,91.3,True,False,True,False,True,0,4
하나머티리얼즈,166090,KOSDAQ,반도체,부품,실리콘부품,2,2,1,-7.15,97.1,True,True,True,False,True,0,5
원익QnC,074600,KOSDAQ,반도체,부품,쿼츠·세라믹,2,1,1,-5.39,99.9,True,False,True,False,True,0,4
코미코,183190,KOSDAQ,반도체,부품,세라믹코팅,0,1,0,-18.12,74.5,False,False,True,False,False,0,1
미코,059090,KOSDAQ,반도체,부품,히터·ESC,1,2,1,34.44,84.9,True,True,True,False,True,2,6
케이엔제이,199540,KOSDAQ,반도체,부품,히터·ESC,0,0,0,,,False,False,False,False,False,0,0
엘오티베큠,083310,KOSDAQ,반도체,부품,진공펌프,2,2,1,1.95,90.5,True,True,True,False,True,2,7
동아화성,041930,KOSDAQ,반도체,부품,O-ring·씰,0,1,1,-10.3,77.5,False,False,True,False,True,0,2
피엠티,216080,KOSDAQ,반도체,부품,가스공급MFC,0,1,0,-27.32,63.6,False,False,True,False,False,0,1
두산에너빌리티,034020,KOSPI,전력인프라,발전,가스터빈·발전기,2,1,1,-4.37,99.2,True,False,True,False,True,0,4
현대일렉트릭,267260,KOSPI,전력인프라,발전,가스터빈·발전기,2,2,1,-6.29,97.7,True,True,True,False,True,0,5
씨에스윈드,112610,KOSPI,전력인프라,발전,풍력,1,0,1,-7.48,87.4,True,False,False,False,True,0,2
동국S&C,100130,KOSDAQ,전력인프라,발전,풍력,1,0,1,-13.09,78.2,True,False,False,False,True,0,2
현대에너지솔루션,322000,KOSPI,전력인프라,발전,태양광,2,0,2,22.59,92.2,True,False,False,True,True,2,6
한화솔루션,009830,KOSPI,전력인프라,발전,태양광,0,1,1,9.97,80.2,False,False,True,False,True,2,4
두산퓨얼셀,336260,KOSPI,전력인프라,발전,연료전지,2,1,2,4.96,99.8,True,False,True,True,True,1,6
에스퓨얼셀,288620,KOSDAQ,전력인프라,발전,연료전지,0,1,2,-3.44,61.7,False,False,True,True,True,0,3
지엔씨에너지,136190,KOSDAQ,전력인프라,발전,비상발전기,0,0,0,,,False,False,False,False,False,0,0
효성중공업,298040,KOSPI,전력인프라,송전,초고압변압기,2,1,0,-11.41,97.1,True,False,True,False,False,0,3
산일전기,062040,KOSDAQ,전력인프라,송전,초고압변압기,2,2,1,4.43,99.0,True,True,True,False,True,1,6
일진전기,103590,KOSPI,전력인프라,송전,GIS,1,1,1,-7.06,89.3,True,False,True,False,True,0,3
LS마린솔루션,389470,KOSDAQ,전력인프라,송전,해저케이블,0,1,0,-38.16,59.0,False,False,True,False,False,0,1
대한전선,001440,KOSPI,전력인프라,송전,해저케이블,2,2,1,22.31,95.8,True,True,True,False,True,2,7
세명전기,017510,KOSDAQ,전력인프라,송전,금구류,0,1,1,-7.33,78.2,False,False,True,False,True,0,2
가온전선,000500,KOSPI,전력인프라,송전,전력케이블,2,1,2,51.21,94.6,True,False,True,True,True,2,7
LS일렉트릭,010120,KOSPI,전력인프라,변전,변압기(중고압),2,1,2,-2.81,97.1,True,False,True,True,True,0,5
제룡전기,033100,KOSDAQ,전력인프라,변전,변압기(중고압),0,1,1,-9.3,74.2,False,False,True,False,True,0,2
에이트원,289080,KOSDAQ,전력인프라,변전,변압기(중고압),1,1,1,3.19,85.2,True,False,True,False,True,1,4
누리텔레콤,040160,KOSDAQ,전력인프라,변전,전력IT,1,1,1,26.57,76.5,True,False,True,False,True,2,5
피앤씨테크,237750,KOSDAQ,전력인프라,변전,전력IT,0,1,2,-19.35,74.6,False,False,True,True,True,0,3
LG에너지솔루션,373220,KOSPI,전력인프라,온사이트·ESS,ESS배터리,1,2,2,6.77,91.9,False,True,True,True,True,1,6
에코프로비엠,247540,KOSDAQ,전력인프라,온사이트·ESS,ESS배터리,0,1,1,-9.64,83.8,False,False,True,False,True,0,2
포스코DX,022100,KOSPI,전력인프라,온사이트·ESS,ESS SI,0,1,2,-1.78,78.2,False,False,True,True,True,0,3
이피에스,050630,KOSDAQ,전력인프라,온사이트·ESS,UPS,0,0,0,,,False,False,False,False,False,0,0
모아데이타,288980,KOSDAQ,전력인프라,데이터센터전력,액침냉각,0,2,1,78.41,85.8,False,True,True,False,True,2,5
링네트,042500,KOSDAQ,전력인프라,데이터센터전력,전력관리SW,1,1,2,13.67,80.5,True,False,True,True,True,2,6
옴니시스템,057540,KOSDAQ,전력인프라,배전,AMI,0,1,1,-11.99,62.5,False,False,True,False,True,0,2
㈜LS,006260,KOSPI,전력인프라,지주·그룹,지주사,2,1,1,8.92,98.7,True,False,True,False,True,2,6
효성,004800,KOSPI,전력인프라,지주·그룹,지주사,1,1,1,-7.12,90.1,False,False,True,False,True,0,3
HD현대,267250,KOSPI,전력인프라,지주·그룹,지주사,0,1,1,-19.99,83.4,False,False,True,False,True,0,2
삼성SDI,006400,KOSPI,전력인프라,온사이트·ESS,ESS배터리,2,1,2,46.96,96.1,True,False,True,True,True,2,7
